#{"t_start": 1608095768.822646, "env_id": null}
r,l,t
0,1,2.015652
0,1,2.023349
0,1,2.0299
0,1,2.036488
0,1,2.045028
0,1,4.860595
0,1,4.869916
5,1,4.879073
0,1,4.886077
0,1,4.892868
0,1,4.931262
0,1,4.939966
0,1,4.945964
0,1,4.952743
0,1,4.95889
0,1,4.99312
0,1,4.999044
0,1,5.00528
0,1,5.011898
0,1,5.018119
0,1,5.068993
0,1,5.075191
0,1,5.08119
0,1,5.087665
0,1,5.095435
0,1,5.13414
0,1,5.140438
0,1,5.147124
0,1,5.15356
0,1,5.160208
0,1,5.197649
0,1,5.204094
0,1,5.210339
0,1,5.216917
0,1,5.223517
0,1,5.261936
0,1,5.26892
0,1,5.275743
0,1,5.283231
0,1,5.28926
0,1,5.327616
0,1,5.334483
0,1,5.340425
0,1,5.347108
0,1,5.353832
0,1,5.391048
0,1,5.397488
0,1,5.403405
0,1,5.409113
0,1,5.415343
0,1,5.453597
0,1,5.46022
0,1,5.466811
0,1,5.473574
0,1,5.48005
0,1,5.51845
0,1,5.525253
0,1,5.532222
0,1,5.538429
0,1,5.544631
0,1,5.582621
0,1,5.588865
0,1,5.595405
0,1,5.601793
0,1,5.607621
0,1,5.644786
0,1,5.650811
0,1,5.657746
0,1,5.664254
0,1,5.671413
0,1,5.710072
0,1,5.716711
0,1,5.723782
5,1,5.730247
0,1,5.736236
0,1,5.772712
0,1,5.778716
0,1,5.78487
0,1,5.79174
0,1,5.79786
0,1,5.836608
0,1,5.84352
0,1,5.849788
0,1,5.856226
0,1,5.8632
0,1,5.903409
0,1,5.910114
0,1,5.917426
0,1,5.923312
0,1,5.929097
0,1,5.966806
0,1,5.973084
0,1,5.979732
0,1,5.991921
0,1,5.998717
0,1,6.034284
0,1,6.04124
0,1,6.047792
0,1,6.05581
0,1,6.062637
0,1,6.099555
0,1,6.105937
0,1,6.112634
0,1,6.119234
0,1,6.125845
0,1,6.161296
0,1,6.16808
0,1,6.174821
0,1,6.181512
0,1,6.187537
0,1,6.224963
0,1,6.231982
0,1,6.238162
0,1,6.244223
0,1,6.250067
0,1,6.2869
0,1,6.292902
0,1,6.299782
0,1,6.306322
0,1,6.312369
0,1,6.349359
0,1,6.355172
0,1,6.361393
0,1,6.368331
0,1,6.374298
0,1,6.412375
0,1,6.419091
0,1,6.426248
0,1,6.432495
0,1,6.439912
0,1,6.474999
0,1,6.481491
0,1,6.488273
0,1,6.495074
0,1,6.501264
0,1,6.53949
0,1,6.546061
0,1,6.552701
0,1,6.559866
0,1,6.566214
0,1,6.603133
0,1,6.609867
0,1,6.616475
0,1,6.622998
0,1,6.630031
0,1,6.666923
0,1,6.673445
0,1,6.681655
0,1,6.693205
0,1,6.704364
0,1,6.7435
0,1,6.750238
0,1,6.757322
0,1,6.763482
0,1,6.771175
0,1,6.805799
0,1,6.812092
0,1,6.818508
0,1,6.825109
0,1,6.831352
0,1,6.86708
0,1,6.874064
0,1,6.87981
0,1,6.88605
0,1,6.892075
0,1,6.929077
0,1,6.935054
0,1,6.94159
0,1,6.948079
0,1,6.954003
0,1,6.991332
0,1,6.997362
0,1,7.003302
0,1,7.010064
0,1,7.016659
0,1,7.057358
0,1,7.063716
0,1,7.069861
0,1,7.076214
0,1,7.083249
0,1,7.119827
0,1,7.126664
0,1,7.13305
0,1,7.139416
0,1,7.145636
0,1,7.1857
0,1,7.192032
0,1,7.198976
0,1,7.205226
0,1,7.212021
0,1,7.24848
0,1,7.254571
0,1,7.261468
0,1,7.268699
0,1,7.274891
0,1,7.312138
0,1,7.318813
0,1,7.324289
0,1,7.331207
5,1,7.338962
0,1,7.375486
0,1,7.381729
0,1,7.388571
0,1,7.39509
0,1,7.401559
0,1,7.438088
0,1,7.444601
0,1,7.45079
0,1,7.457128
0,1,7.46337
0,1,7.499439
0,1,7.506305
0,1,7.512705
0,1,7.518975
0,1,7.52492
0,1,7.561041
5,1,7.567438
0,1,7.573006
0,1,7.579576
0,1,7.585712
0,1,7.622606
0,1,7.62904
0,1,7.635544
0,1,7.642035
0,1,7.648788
0,1,7.685014
0,1,7.691215
0,1,7.698215
0,1,7.704894
0,1,7.711256
0,1,7.749515
0,1,7.755202
0,1,7.761497
0,1,7.768306
0,1,7.775722
0,1,7.812581
0,1,7.819106
0,1,7.825783
0,1,7.832128
0,1,7.838098
0,1,7.874947
0,1,7.882047
0,1,7.887999
0,1,7.894454
0,1,7.901256
0,1,7.937412
0,1,7.943215
0,1,7.950501
0,1,7.956602
0,1,7.962308
0,1,8.000318
0,1,8.008059
0,1,8.014479
